id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2942426,dongsi_aq,2018-04-01 02:00:00,259.0,,98.0,3.4,56.0,57.0
2942427,tiantan_aq,2018-04-01 02:00:00,250.0,,95.0,3.1,64.0,28.0
2942428,guanyuan_aq,2018-04-01 02:00:00,240.0,246.0,107.0,2.2,49.0,30.0
2942429,wanshouxigong_aq,2018-04-01 02:00:00,255.0,260.0,87.0,2.5,65.0,35.0
2942430,aotizhongxin_aq,2018-04-01 02:00:00,266.0,,111.0,3.5,45.0,57.0
2942431,nongzhanguan_aq,2018-04-01 02:00:00,265.0,,108.0,3.6,45.0,63.0
2942432,wanliu_aq,2018-04-01 02:00:00,210.0,231.0,111.0,2.0,43.0,27.0
2942433,beibuxinqu_aq,2018-04-01 02:00:00,210.0,,82.0,1.5,50.0,17.0
2942434,zhiwuyuan_aq,2018-04-01 02:00:00,,,,,,
2942435,fengtaihuayuan_aq,2018-04-01 02:00:00,253.0,274.0,117.0,2.1,41.0,19.0
2942436,yungang_aq,2018-04-01 02:00:00,204.0,269.0,102.0,1.4,44.0,19.0
2942437,gucheng_aq,2018-04-01 02:00:00,196.0,315.0,100.0,1.5,48.0,12.0
2942438,fangshan_aq,2018-04-01 02:00:00,190.0,297.0,141.0,1.4,27.0,17.0
2942439,daxing_aq,2018-04-01 02:00:00,259.0,282.0,99.0,2.3,43.0,33.0
2942440,yizhuang_aq,2018-04-01 02:00:00,244.0,246.0,90.0,2.8,67.0,38.0
2942441,tongzhou_aq,2018-04-01 02:00:00,268.0,,82.0,4.8,74.0,88.0
2942442,shunyi_aq,2018-04-01 02:00:00,182.0,206.0,93.0,2.0,55.0,28.0
2942443,pingchang_aq,2018-04-01 02:00:00,231.0,,81.0,2.8,72.0,46.0
2942444,mentougou_aq,2018-04-01 02:00:00,100.0,153.0,57.0,0.8,71.0,8.0
2942445,pinggu_aq,2018-04-01 02:00:00,193.0,210.0,55.0,1.6,73.0,2.0
2942446,huairou_aq,2018-04-01 02:00:00,149.0,181.0,50.0,1.3,74.0,16.0
2942447,miyun_aq,2018-04-01 02:00:00,117.0,171.0,62.0,1.1,74.0,11.0
2942448,yanqin_aq,2018-04-01 02:00:00,89.0,176.0,85.0,1.0,18.0,13.0
2942449,dingling_aq,2018-04-01 02:00:00,224.0,233.0,56.0,3.1,117.0,49.0
2942450,badaling_aq,2018-04-01 02:00:00,,,,,,
2942451,miyunshuiku_aq,2018-04-01 02:00:00,124.0,138.0,30.0,0.9,103.0,9.0
2942452,donggaocun_aq,2018-04-01 02:00:00,215.0,,75.0,1.7,51.0,24.0
2942453,yongledian_aq,2018-04-01 02:00:00,248.0,,78.0,3.8,75.0,35.0
2942454,yufa_aq,2018-04-01 02:00:00,289.0,309.0,123.0,1.7,33.0,21.0
2942455,liulihe_aq,2018-04-01 02:00:00,160.0,257.0,75.0,1.1,77.0,
2942456,qianmen_aq,2018-04-01 02:00:00,268.0,,120.0,3.3,46.0,55.0
2942457,yongdingmennei_aq,2018-04-01 02:00:00,272.0,,109.0,3.0,64.0,53.0
2942458,xizhimenbei_aq,2018-04-01 02:00:00,274.0,,115.0,2.7,37.0,27.0
2942459,nansanhuan_aq,2018-04-01 02:00:00,279.0,312.0,127.0,2.5,34.0,36.0
2942460,dongsihuan_aq,2018-04-01 02:00:00,287.0,358.0,132.0,3.7,30.0,64.0
2942482,dongsi_aq,2018-04-01 03:00:00,275.0,,95.0,3.6,100.0,58.0
2942483,tiantan_aq,2018-04-01 03:00:00,256.0,,88.0,3.2,106.0,41.0
2942484,guanyuan_aq,2018-04-01 03:00:00,261.0,,93.0,2.6,110.0,41.0
2942485,wanshouxigong_aq,2018-04-01 03:00:00,268.0,,94.0,2.8,95.0,42.0
2942486,aotizhongxin_aq,2018-04-01 03:00:00,279.0,,104.0,3.3,82.0,56.0
2942487,nongzhanguan_aq,2018-04-01 03:00:00,273.0,278.0,98.0,3.9,94.0,66.0
2942488,wanliu_aq,2018-04-01 03:00:00,245.0,249.0,103.0,2.1,87.0,30.0
2942489,beibuxinqu_aq,2018-04-01 03:00:00,249.0,,83.0,1.6,75.0,22.0
2942490,zhiwuyuan_aq,2018-04-01 03:00:00,,,,,,
2942491,fengtaihuayuan_aq,2018-04-01 03:00:00,284.0,,94.0,2.2,99.0,27.0
2942492,yungang_aq,2018-04-01 03:00:00,227.0,264.0,124.0,1.5,73.0,19.0
2942493,gucheng_aq,2018-04-01 03:00:00,233.0,287.0,123.0,1.7,63.0,18.0
2942494,fangshan_aq,2018-04-01 03:00:00,248.0,324.0,118.0,1.6,86.0,24.0
2942495,daxing_aq,2018-04-01 03:00:00,262.0,283.0,100.0,2.3,78.0,42.0
2942496,yizhuang_aq,2018-04-01 03:00:00,244.0,246.0,83.0,2.9,106.0,51.0
2942497,tongzhou_aq,2018-04-01 03:00:00,280.0,,72.0,4.2,109.0,76.0
2942498,shunyi_aq,2018-04-01 03:00:00,225.0,229.0,76.0,2.4,97.0,37.0
2942499,pingchang_aq,2018-04-01 03:00:00,252.0,,74.0,2.6,106.0,44.0
2942500,mentougou_aq,2018-04-01 03:00:00,170.0,266.0,93.0,1.3,84.0,15.0
2942501,pinggu_aq,2018-04-01 03:00:00,224.0,276.0,70.0,2.3,83.0,2.0
2942502,huairou_aq,2018-04-01 03:00:00,152.0,186.0,53.0,1.2,104.0,16.0
2942503,miyun_aq,2018-04-01 03:00:00,135.0,205.0,46.0,1.1,124.0,15.0
2942504,yanqin_aq,2018-04-01 03:00:00,83.0,197.0,78.0,1.0,27.0,14.0
2942505,dingling_aq,2018-04-01 03:00:00,251.0,,66.0,3.4,149.0,56.0
2942506,badaling_aq,2018-04-01 03:00:00,47.0,,,,,
2942507,miyunshuiku_aq,2018-04-01 03:00:00,131.0,137.0,23.0,0.9,145.0,10.0
2942508,donggaocun_aq,2018-04-01 03:00:00,258.0,,86.0,2.4,85.0,37.0
2942509,yongledian_aq,2018-04-01 03:00:00,253.0,,74.0,3.5,109.0,37.0
2942510,yufa_aq,2018-04-01 03:00:00,292.0,,109.0,1.7,86.0,22.0
2942511,liulihe_aq,2018-04-01 03:00:00,191.0,280.0,63.0,1.1,126.0,
2942512,qianmen_aq,2018-04-01 03:00:00,285.0,,99.0,3.5,100.0,58.0
2942513,yongdingmennei_aq,2018-04-01 03:00:00,292.0,,110.0,3.1,99.0,64.0
2942514,xizhimenbei_aq,2018-04-01 03:00:00,287.0,,103.0,2.7,76.0,48.0
2942515,nansanhuan_aq,2018-04-01 03:00:00,286.0,347.0,128.0,2.8,66.0,41.0
2942516,dongsihuan_aq,2018-04-01 03:00:00,288.0,361.0,129.0,3.9,68.0,63.0
2942538,dongsi_aq,2018-04-01 04:00:00,265.0,,79.0,3.0,159.0,48.0
2942539,tiantan_aq,2018-04-01 04:00:00,260.0,,80.0,2.7,147.0,40.0
2942540,guanyuan_aq,2018-04-01 04:00:00,250.0,,78.0,2.1,176.0,34.0
2942541,wanshouxigong_aq,2018-04-01 04:00:00,268.0,,79.0,2.3,149.0,35.0
2942542,aotizhongxin_aq,2018-04-01 04:00:00,275.0,,80.0,2.7,154.0,44.0
2942543,nongzhanguan_aq,2018-04-01 04:00:00,265.0,269.0,80.0,3.5,149.0,54.0
2942544,wanliu_aq,2018-04-01 04:00:00,247.0,,85.0,1.9,155.0,30.0
2942545,beibuxinqu_aq,2018-04-01 04:00:00,235.0,,94.0,1.7,96.0,23.0
2942546,zhiwuyuan_aq,2018-04-01 04:00:00,,,,,,
2942547,fengtaihuayuan_aq,2018-04-01 04:00:00,286.0,,72.0,1.9,167.0,30.0
2942548,yungang_aq,2018-04-01 04:00:00,255.0,291.0,78.0,1.5,165.0,27.0
2942549,gucheng_aq,2018-04-01 04:00:00,245.0,286.0,99.0,1.5,142.0,21.0
2942550,fangshan_aq,2018-04-01 04:00:00,253.0,317.0,93.0,1.3,157.0,28.0
2942551,daxing_aq,2018-04-01 04:00:00,260.0,281.0,87.0,2.0,129.0,38.0
2942552,yizhuang_aq,2018-04-01 04:00:00,254.0,263.0,97.0,2.7,132.0,48.0
2942553,tongzhou_aq,2018-04-01 04:00:00,272.0,,70.0,2.9,141.0,57.0
2942554,shunyi_aq,2018-04-01 04:00:00,275.0,,79.0,3.2,147.0,48.0
2942555,pingchang_aq,2018-04-01 04:00:00,247.0,,71.0,2.2,140.0,38.0
2942556,mentougou_aq,2018-04-01 04:00:00,229.0,259.0,96.0,1.4,135.0,21.0
2942557,pinggu_aq,2018-04-01 04:00:00,273.0,,80.0,3.3,123.0,2.0
2942558,huairou_aq,2018-04-01 04:00:00,186.0,228.0,63.0,1.7,133.0,23.0
2942559,miyun_aq,2018-04-01 04:00:00,174.0,246.0,49.0,1.4,163.0,20.0
2942560,yanqin_aq,2018-04-01 04:00:00,57.0,127.0,46.0,0.8,62.0,14.0
2942561,dingling_aq,2018-04-01 04:00:00,227.0,,65.0,2.3,177.0,38.0
2942562,badaling_aq,2018-04-01 04:00:00,33.0,141.0,16.0,0.9,110.0,9.0
2942563,miyunshuiku_aq,2018-04-01 04:00:00,169.0,209.0,32.0,1.1,185.0,15.0
2942564,donggaocun_aq,2018-04-01 04:00:00,246.0,,43.0,1.7,196.0,35.0
2942565,yongledian_aq,2018-04-01 04:00:00,252.0,,70.0,2.9,142.0,32.0
2942566,yufa_aq,2018-04-01 04:00:00,288.0,,90.0,1.6,139.0,21.0
2942567,liulihe_aq,2018-04-01 04:00:00,206.0,276.0,64.0,1.2,157.0,
2942568,qianmen_aq,2018-04-01 04:00:00,271.0,,85.0,2.7,150.0,48.0
2942569,yongdingmennei_aq,2018-04-01 04:00:00,282.0,,100.0,2.5,150.0,54.0
2942570,xizhimenbei_aq,2018-04-01 04:00:00,285.0,,97.0,2.4,121.0,54.0
2942571,nansanhuan_aq,2018-04-01 04:00:00,282.0,347.0,114.0,2.2,115.0,34.0
2942572,dongsihuan_aq,2018-04-01 04:00:00,272.0,319.0,120.0,3.5,115.0,53.0
2942594,dongsi_aq,2018-04-01 05:00:00,270.0,,66.0,2.0,199.0,33.0
2942595,tiantan_aq,2018-04-01 05:00:00,258.0,,66.0,2.0,186.0,28.0
2942596,guanyuan_aq,2018-04-01 05:00:00,247.0,,69.0,1.7,211.0,29.0
2942597,wanshouxigong_aq,2018-04-01 05:00:00,261.0,277.0,72.0,1.9,175.0,26.0
2942598,aotizhongxin_aq,2018-04-01 05:00:00,258.0,,68.0,2.1,193.0,34.0
2942599,nongzhanguan_aq,2018-04-01 05:00:00,258.0,269.0,65.0,2.2,200.0,33.0
2942600,wanliu_aq,2018-04-01 05:00:00,240.0,,67.0,1.7,210.0,29.0
2942601,beibuxinqu_aq,2018-04-01 05:00:00,253.0,,83.0,1.6,164.0,20.0
2942602,zhiwuyuan_aq,2018-04-01 05:00:00,,,,,,
2942603,fengtaihuayuan_aq,2018-04-01 05:00:00,277.0,278.0,67.0,1.7,197.0,25.0
2942604,yungang_aq,2018-04-01 05:00:00,256.0,272.0,68.0,1.3,195.0,22.0
2942605,gucheng_aq,2018-04-01 05:00:00,264.0,301.0,66.0,1.4,209.0,24.0
2942606,fangshan_aq,2018-04-01 05:00:00,243.0,303.0,69.0,1.1,209.0,24.0
2942607,daxing_aq,2018-04-01 05:00:00,246.0,261.0,62.0,1.7,178.0,30.0
2942608,yizhuang_aq,2018-04-01 05:00:00,250.0,256.0,64.0,2.5,195.0,40.0
2942609,tongzhou_aq,2018-04-01 05:00:00,267.0,,46.0,2.1,202.0,37.0
2942610,shunyi_aq,2018-04-01 05:00:00,283.0,,64.0,3.4,214.0,48.0
2942611,pingchang_aq,2018-04-01 05:00:00,245.0,,61.0,1.8,189.0,30.0
2942612,mentougou_aq,2018-04-01 05:00:00,232.0,251.0,83.0,1.2,183.0,22.0
2942613,pinggu_aq,2018-04-01 05:00:00,265.0,,53.0,3.0,194.0,2.0
2942614,huairou_aq,2018-04-01 05:00:00,241.0,256.0,67.0,2.1,176.0,31.0
2942615,miyun_aq,2018-04-01 05:00:00,233.0,262.0,49.0,2.0,206.0,30.0
2942616,yanqin_aq,2018-04-01 05:00:00,20.0,34.0,11.0,0.3,122.0,4.0
2942617,dingling_aq,2018-04-01 05:00:00,239.0,,67.0,2.2,211.0,34.0
2942618,badaling_aq,2018-04-01 05:00:00,28.0,109.0,13.0,0.8,121.0,6.0
2942619,miyunshuiku_aq,2018-04-01 05:00:00,211.0,237.0,36.0,1.3,229.0,20.0
2942620,donggaocun_aq,2018-04-01 05:00:00,253.0,,45.0,2.1,203.0,40.0
2942621,yongledian_aq,2018-04-01 05:00:00,266.0,,73.0,2.5,185.0,33.0
2942622,yufa_aq,2018-04-01 05:00:00,288.0,,64.0,1.6,208.0,24.0
2942623,liulihe_aq,2018-04-01 05:00:00,218.0,258.0,70.0,1.2,164.0,
2942624,qianmen_aq,2018-04-01 05:00:00,279.0,,81.0,2.0,179.0,34.0
2942625,yongdingmennei_aq,2018-04-01 05:00:00,292.0,,89.0,2.0,184.0,38.0
2942626,xizhimenbei_aq,2018-04-01 05:00:00,283.0,,89.0,1.8,161.0,43.0
2942627,nansanhuan_aq,2018-04-01 05:00:00,282.0,329.0,112.0,1.9,145.0,27.0
2942628,dongsihuan_aq,2018-04-01 05:00:00,273.0,303.0,107.0,2.3,154.0,35.0
2942650,dongsi_aq,2018-04-01 06:00:00,251.0,252.0,56.0,1.8,224.0,23.0
2942651,tiantan_aq,2018-04-01 06:00:00,243.0,,54.0,1.7,207.0,20.0
2942652,guanyuan_aq,2018-04-01 06:00:00,239.0,,61.0,1.6,233.0,20.0
2942653,wanshouxigong_aq,2018-04-01 06:00:00,246.0,249.0,62.0,1.7,197.0,19.0
2942654,aotizhongxin_aq,2018-04-01 06:00:00,253.0,261.0,62.0,1.6,209.0,22.0
2942655,nongzhanguan_aq,2018-04-01 06:00:00,256.0,261.0,54.0,1.9,227.0,22.0
2942656,wanliu_aq,2018-04-01 06:00:00,238.0,,71.0,1.5,221.0,23.0
2942657,beibuxinqu_aq,2018-04-01 06:00:00,260.0,,64.0,1.5,199.0,20.0
2942658,zhiwuyuan_aq,2018-04-01 06:00:00,,,,,,
2942659,fengtaihuayuan_aq,2018-04-01 06:00:00,276.0,,54.0,1.5,224.0,19.0
2942660,yungang_aq,2018-04-01 06:00:00,224.0,245.0,45.0,1.2,237.0,18.0
2942661,gucheng_aq,2018-04-01 06:00:00,249.0,285.0,58.0,1.2,225.0,18.0
2942662,fangshan_aq,2018-04-01 06:00:00,210.0,268.0,54.0,1.0,238.0,21.0
2942663,daxing_aq,2018-04-01 06:00:00,225.0,241.0,57.0,1.4,197.0,22.0
2942664,yizhuang_aq,2018-04-01 06:00:00,234.0,,65.0,1.9,208.0,32.0
2942665,tongzhou_aq,2018-04-01 06:00:00,264.0,,46.0,2.2,219.0,29.0
2942666,shunyi_aq,2018-04-01 06:00:00,260.0,,52.0,2.4,249.0,35.0
2942667,pingchang_aq,2018-04-01 06:00:00,266.0,,61.0,1.8,222.0,28.0
2942668,mentougou_aq,2018-04-01 06:00:00,218.0,246.0,66.0,1.1,204.0,18.0
2942669,pinggu_aq,2018-04-01 06:00:00,248.0,,43.0,2.4,225.0,2.0
2942670,huairou_aq,2018-04-01 06:00:00,251.0,,64.0,2.7,215.0,37.0
2942671,miyun_aq,2018-04-01 06:00:00,262.0,,54.0,2.6,243.0,38.0
2942672,yanqin_aq,2018-04-01 06:00:00,62.0,190.0,18.0,0.6,151.0,7.0
2942673,dingling_aq,2018-04-01 06:00:00,257.0,,73.0,2.0,232.0,31.0
2942674,badaling_aq,2018-04-01 06:00:00,99.0,198.0,32.0,1.2,159.0,10.0
2942675,miyunshuiku_aq,2018-04-01 06:00:00,238.0,252.0,40.0,2.0,254.0,30.0
2942676,donggaocun_aq,2018-04-01 06:00:00,240.0,,42.0,1.9,217.0,35.0
2942677,yongledian_aq,2018-04-01 06:00:00,246.0,246.0,64.0,2.4,236.0,29.0
2942678,yufa_aq,2018-04-01 06:00:00,241.0,,42.0,1.3,249.0,19.0
2942679,liulihe_aq,2018-04-01 06:00:00,212.0,272.0,49.0,1.2,213.0,
2942680,qianmen_aq,2018-04-01 06:00:00,265.0,,74.0,1.7,197.0,25.0
2942681,yongdingmennei_aq,2018-04-01 06:00:00,263.0,,76.0,1.6,207.0,29.0
2942682,xizhimenbei_aq,2018-04-01 06:00:00,272.0,,81.0,1.6,178.0,33.0
2942683,nansanhuan_aq,2018-04-01 06:00:00,259.0,314.0,101.0,3.2,164.0,20.0
2942684,dongsihuan_aq,2018-04-01 06:00:00,263.0,293.0,99.0,2.1,177.0,23.0
2942726,dongsi_aq,2018-04-01 08:00:00,169.0,181.0,29.0,0.9,236.0,13.0
2942727,tiantan_aq,2018-04-01 08:00:00,143.0,170.0,25.0,1.0,219.0,10.0
2942728,guanyuan_aq,2018-04-01 08:00:00,152.0,189.0,32.0,0.8,237.0,11.0
2942729,wanshouxigong_aq,2018-04-01 08:00:00,151.0,153.0,38.0,0.9,203.0,11.0
2942730,aotizhongxin_aq,2018-04-01 08:00:00,176.0,208.0,40.0,0.8,214.0,13.0
2942731,nongzhanguan_aq,2018-04-01 08:00:00,168.0,199.0,30.0,1.0,239.0,13.0
2942732,wanliu_aq,2018-04-01 08:00:00,159.0,168.0,47.0,0.9,214.0,14.0
2942733,beibuxinqu_aq,2018-04-01 08:00:00,182.0,,44.0,1.1,197.0,11.0
2942734,zhiwuyuan_aq,2018-04-01 08:00:00,,,,,,
2942735,fengtaihuayuan_aq,2018-04-01 08:00:00,171.0,212.0,32.0,1.0,231.0,13.0
2942736,yungang_aq,2018-04-01 08:00:00,157.0,177.0,24.0,0.8,239.0,13.0
2942737,gucheng_aq,2018-04-01 08:00:00,173.0,190.0,31.0,0.8,228.0,12.0
2942738,fangshan_aq,2018-04-01 08:00:00,123.0,221.0,28.0,0.6,236.0,12.0
2942739,daxing_aq,2018-04-01 08:00:00,140.0,184.0,27.0,1.0,227.0,14.0
2942740,yizhuang_aq,2018-04-01 08:00:00,145.0,167.0,31.0,1.0,232.0,15.0
2942741,tongzhou_aq,2018-04-01 08:00:00,192.0,202.0,30.0,1.0,236.0,16.0
2942742,shunyi_aq,2018-04-01 08:00:00,249.0,,55.0,2.1,258.0,21.0
2942743,pingchang_aq,2018-04-01 08:00:00,246.0,,49.0,1.3,241.0,18.0
2942744,mentougou_aq,2018-04-01 08:00:00,183.0,219.0,44.0,0.9,228.0,15.0
2942745,pinggu_aq,2018-04-01 08:00:00,229.0,,36.0,1.8,244.0,2.0
2942746,huairou_aq,2018-04-01 08:00:00,231.0,232.0,49.0,1.9,257.0,23.0
2942747,miyun_aq,2018-04-01 08:00:00,214.0,,45.0,1.9,282.0,26.0
2942748,yanqin_aq,2018-04-01 08:00:00,194.0,357.0,53.0,1.2,216.0,15.0
2942749,dingling_aq,2018-04-01 08:00:00,237.0,,61.0,1.5,260.0,20.0
2942750,badaling_aq,2018-04-01 08:00:00,212.0,374.0,59.0,1.7,227.0,16.0
2942751,miyunshuiku_aq,2018-04-01 08:00:00,238.0,,34.0,2.1,289.0,29.0
2942752,donggaocun_aq,2018-04-01 08:00:00,227.0,,33.0,1.5,234.0,24.0
2942753,yongledian_aq,2018-04-01 08:00:00,146.0,200.0,25.0,1.3,267.0,13.0
2942754,yufa_aq,2018-04-01 08:00:00,133.0,193.0,21.0,0.8,248.0,11.0
2942755,liulihe_aq,2018-04-01 08:00:00,117.0,171.0,20.0,0.7,190.0,
2942756,qianmen_aq,2018-04-01 08:00:00,174.0,,47.0,0.9,218.0,15.0
2942757,yongdingmennei_aq,2018-04-01 08:00:00,169.0,,48.0,0.9,229.0,21.0
2942758,xizhimenbei_aq,2018-04-01 08:00:00,181.0,,61.0,1.0,183.0,20.0
2942759,nansanhuan_aq,2018-04-01 08:00:00,147.0,269.0,82.0,1.0,182.0,13.0
2942760,dongsihuan_aq,2018-04-01 08:00:00,150.0,256.0,57.0,1.0,205.0,13.0
2942782,dongsi_aq,2018-04-01 09:00:00,137.0,183.0,26.0,0.9,237.0,11.0
2942783,tiantan_aq,2018-04-01 09:00:00,122.0,150.0,23.0,0.9,217.0,9.0
2942784,guanyuan_aq,2018-04-01 09:00:00,113.0,154.0,27.0,0.7,223.0,8.0
2942785,wanshouxigong_aq,2018-04-01 09:00:00,115.0,125.0,34.0,0.8,187.0,8.0
2942786,aotizhongxin_aq,2018-04-01 09:00:00,126.0,191.0,32.0,0.6,202.0,10.0
2942787,nongzhanguan_aq,2018-04-01 09:00:00,130.0,173.0,26.0,0.8,229.0,10.0
2942788,wanliu_aq,2018-04-01 09:00:00,131.0,180.0,40.0,0.8,214.0,11.0
2942789,beibuxinqu_aq,2018-04-01 09:00:00,140.0,,32.0,0.9,186.0,10.0
2942790,zhiwuyuan_aq,2018-04-01 09:00:00,,,,,,
2942791,fengtaihuayuan_aq,2018-04-01 09:00:00,110.0,157.0,23.0,0.7,201.0,8.0
