station_id,longitude,latitude,urban,suburban,near_traffic
aotizhongxin_aq,116.397,39.982,1,0,0
badaling_aq,115.988,40.365,0,0,0
beibuxinqu_aq,116.174,40.09,1,0,0
daxing_aq,116.404,39.718,0,1,0
dingling_aq,116.22,40.292,0,0,0
donggaocun_aq,117.12,40.1,0,0,0
dongsi_aq,116.417,39.929,1,0,0
dongsihuan_aq,116.483,39.939,0,0,1
fangshan_aq,116.136,39.742,0,1,0
fengtaihuayuan_aq,116.279,39.863,1,0,0
guanyuan_aq,116.339,39.929,1,0,0
gucheng_aq,116.184,39.914,1,0,0
huairou_aq,116.628,40.328,0,1,0
liulihe_aq,116,39.58,0,0,0
mentougou_aq,116.106,39.937,0,1,0
miyun_aq,116.832,40.37,0,1,0
miyunshuiku_aq,116.911,40.499,0,0,0
nansanhuan_aq,116.368,39.856,0,0,1
nongzhanguan_aq,116.461,39.937,1,0,0
pingchang_aq,116.23,40.217,0,1,0
pinggu_aq,117.1,40.143,0,1,0
qianmen_aq,116.395,39.899,0,0,1
shunyi_aq,116.655,40.127,0,1,0
tiantan_aq,116.407,39.886,1,0,0
tongzhou_aq,116.663,39.886,0,1,0
wanliu_aq,116.287,39.987,1,0,0
wanshouxigong_aq,116.352,39.878,1,0,0
xizhimenbei_aq,116.349,39.954,0,0,1
yanqin_aq,115.972,40.453,0,1,0
yizhuang_aq,116.506,39.795,0,1,0
yongdingmennei_aq,116.394,39.876,0,0,1
yongledian_aq,116.783,39.712,0,0,0
yufa_aq,116.3,39.52,0,0,0
yungang_aq,116.146,39.824,1,0,0
zhiwuyuan_aq,116.207,40.002,1,0,0